"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 25 20:14:59 GMT 2025","Sat Jan 25 20:15:00 GMT 2025","1162","tests","test_user","TestUser","","","test_create_user_with_incorrect_email_format[test@mail.]","Unable to create user with incorrect email format"
"passed","Sat Jan 25 20:15:14 GMT 2025","Sat Jan 25 20:15:16 GMT 2025","1169","tests","test_user","TestUser","","","test_create_user_with_missing_required_field[password]","Unable to create user if any of the required fields are missing"
"passed","Sat Jan 25 20:15:40 GMT 2025","Sat Jan 25 20:15:41 GMT 2025","1048","tests","test_user","TestUser","","","test_get_user_as_authed","Authorized user can get his user info by ID"
"passed","Sat Jan 25 20:15:48 GMT 2025","Sat Jan 25 20:15:50 GMT 2025","1928","tests","test_user","TestUser","","","test_delete_user","Can delete the just created user"
"passed","Sat Jan 25 20:15:06 GMT 2025","Sat Jan 25 20:15:07 GMT 2025","896","tests","test_user","TestUser","","","test_create_user_with_empty_required_field[firstName]","Unable to create user if any of required fields are empty"
"passed","Sat Jan 25 20:15:58 GMT 2025","Sat Jan 25 20:15:59 GMT 2025","526","tests","test_user","TestUser","","","test_is_user_authed","User can be authorized after login"
"passed","Sat Jan 25 20:15:56 GMT 2025","Sat Jan 25 20:15:57 GMT 2025","1067","tests","test_user","TestUser","","","test_delete_user_that_cannot_be_deleted","Unable to delete a user whose data is protected from deletion"
"passed","Sat Jan 25 20:16:04 GMT 2025","Sat Jan 25 20:16:04 GMT 2025","803","tests","test_user","TestUser","","","test_login_with_wrong_credentials","Cannot login with wrong email or password"
"passed","Sat Jan 25 20:15:03 GMT 2025","Sat Jan 25 20:15:04 GMT 2025","1149","tests","test_user","TestUser","","","test_create_user_with_too_short_name","Unable to create user with user name that is one symbol long"
"passed","Sat Jan 25 20:15:13 GMT 2025","Sat Jan 25 20:15:14 GMT 2025","1231","tests","test_user","TestUser","","","test_create_user_with_missing_required_field[email]","Unable to create user if any of the required fields are missing"
"passed","Sat Jan 25 20:16:00 GMT 2025","Sat Jan 25 20:16:01 GMT 2025","528","tests","test_user","TestUser","","","test_is_user_not_authed[no token]","User can not be authorized w/o sending auth cookie or token"
"passed","Sat Jan 25 20:15:58 GMT 2025","Sat Jan 25 20:15:58 GMT 2025","393","tests","test_user","TestUser","","","test_login_user","Can login with email and password"
"passed","Sat Jan 25 20:15:25 GMT 2025","Sat Jan 25 20:15:27 GMT 2025","2206","tests","test_user","TestUser","","","test_edit_another_user","Authorized user can not edit another user"
